br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,bb2,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br
br,br,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,br,br
brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg
brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg
brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,brbg,br,br,br,br,br,br,brbg,brbg,brbg,brbg,brbg,brbg
